id,pretengrant_total,pretenpubR1,pretenpubR2,pretenpubR3,pretenpub_total3,tenurejobtop30,tenurejobtop50,tenurejobtop100,tenurejobtop200,tenurejobtop201,firstjobtop10,firstjobtop20,firstjobtop40,firstjobtop41_100,firstjobtop201,acadfirstjob,treat,phdyr,phd_forn,top10phd,top20phd,top40phd,tenure2,cohortc,reapplied,tensamp,tenstream,tenstreamtop,nonacadlastjob,firsttimec,yrsphd8,yrsphd9,yrsphd10,yrsphd11,yrsphd12,yrsphd13,yrsphd14,yrsphd15,yrsphd16
44,1,0,6,10,16,0,0,0,0,0,0,0,0,0,1,1,0,1999,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
45,0,0,3,11,14,0,0,0,0,0,0,0,0,0,1,0,1,2001,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
46,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,1,0,2005,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
48,0,0,3,2,5,0,0,0,0,1,0,0,1,0,0,1,0,2002,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
49,0,0,5,2,7,0,0,0,0,0,0,0,0,1,0,1,1,1998,0,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
50,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,1,2004,0,0,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
51,1,0,7,5,12,1,1,1,1,0,0,0,1,0,0,1,1,2001,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
52,0,0,2,3,5,0,1,1,1,0,0,0,0,0,1,1,0,2001,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
53,0,0,0,16,16,0,0,0,0,0,0,0,0,0,1,1,1,2005,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
54,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,1,2001,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
55,0,0,1,5,6,0,0,0,0,0,0,0,0,1,0,1,0,2004,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
57,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,1,0,2005,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
